med_display_name,rxnorm_concat,med_dose_unit_desc,ingredient_concept_id,variable_name
furosemide (LASIX) 500 mg in 50 mL infusion **High Concentration**,| 313002 | 727575 |,mg/hr,956874,aceis_arbs
furosemide (LASIX) injection 160 mg,| 727575 |,mg,956874,aceis_arbs
losartan (COZAAR) tablet 37.5 mg,| 979485 |,mg,1367500,aceis_arbs
bumetanide (BUMEX) injection 5 mg,| 282486 |,mg,932745,aceis_arbs
aMILoride (MIDAMOR) tablet 25 mg,| 977880 |,mg,991382,aceis_arbs
furosemide (LASIX) injection 5 mg,| 727575 |,mg,956874,aceis_arbs
Nebivolol HCl TABS 20 mg,| 827073 |,mg,1314577,aceis_arbs
enalaprilat (VASOTEC) 1.25 MG/ML injection 0.625 mg,| 3829 |,mg,1342001,aceis_arbs
furosemide (LASIX) tablet 80 mg,| 197732 |,mg,956874,aceis_arbs
"lisinopril-hydroCHLOROthiazide (PRINZIDE,ZESTORETIC) 20-12.5 MG per tablet 1 tablet",| 197886 |,tablet,974166,aceis_arbs
rosuvastatin (CRESTOR) tablet 30 mg,| 859747 | 859751 |,mg,1510813,aceis_arbs
****** Patient own medication nv lcz696 or placebo (CLCZ696DUS01) 200 mg tablet 1 tablet *****,| 1656340 |,tablet,1308842,aceis_arbs
spironolactone (ALDACTONE) oral liquid 13 mg,| 198222 |,mg,970250,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 10 mg",| 311354 |,mg,1308216,aceis_arbs
bumetanide (BUMEX) injection,| 282486 |,mg,932745,aceis_arbs
*telmisartan-hydroCHLOROthiazide (MICARDIS HCT) 40-12.5 MG per tablet 1 tablet - PATIENT SUPPLIED,| 283316 |,tablet,974166,aceis_arbs
metOLazone (ZAROXOLYN) tablet 7.5 mg,| 197979 | 311671 |,mg,907013,aceis_arbs
bumetanide (BUMEX) 10 mg in 0.9 % NaCl 100 mL IVPB,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
nebivolol (BYSTOLIC) TABS 2.5 mg **Patient supplied med**,| 387013 |,mg,1314577,aceis_arbs
bumetanide (BUMEX) 25 mg in 100 mL infusion,| 282486 |,mg/kg/hr,932745,aceis_arbs
captopril (CAPOTEN) oral liquid 6.25 mg,| 308963 |,mg,1340128,aceis_arbs
captopril (CAPOTEN) tablet 50 mg,| 308963 |,mg,1340128,aceis_arbs
furosemide (LASIX) tablet 50 mg,| 310429 |,mg,956874,aceis_arbs
chlorothiazide (DIURIL) suspension 500 mg,| 309198 |,mg,992590,aceis_arbs
furosemide (LASIX) 200 mcg in 0.9 % NaCl 2 mL IV solution,| 313002 | 727575 |,mg,956874,aceis_arbs
"lisinopril-hydrochlorothiazide (PRINZIDE,ZESTORETIC) 10-12.5 MG per tablet 1 Tablet",| 197885 |,tablet,974166,aceis_arbs
"enalapril (VASOTEC) 1.25 mg, enalapril (VASOTEC) 2.5 mg",| 858804 |,mg,1341927,aceis_arbs
ramipril (ALTACE) capsule 6.25 mg,| 198189 | 845488 |,mg,1334456,aceis_arbs
*valsartan (DIOVAN) tablet 160 mg - pt supplied,| 349201 |,mg,1308842,aceis_arbs
spironolactone (CAROSPIR) oral suspension 50 mg,| 104232 |,mg,970250,aceis_arbs
spironolactone (ALDACTONE) oral liquid 10 mg,| 198222 |,mg,970250,aceis_arbs
furosemide (LASIX) 120 mg in 0.9 % NaCl 50 mL,| 313002 | 727575 |,mg,956874,aceis_arbs
bisoprolol-hydroCHLOROthiazide (ZIAC) 10-6.25 MG per tablet 1 tablet,| 854908 |,tablet,974166,aceis_arbs
furosemide (LASIX) tablet 120 mg,| 197732 | 313988 |,mg,956874,aceis_arbs
irbesartan (AVAPRO) tablet 300 mg,| 200094 |,mg,1347384,aceis_arbs
indapamide (LOZOL) tablet 5 mg,| 197816 |,mg,978555,aceis_arbs
bisoprolol (ZEBETA) tablet 10 mg,| 854901 |,mg,1338005,aceis_arbs
enalapril (VASOTEC) tablet 15 mg,| 858813 | 858817 |,mg,1341927,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) tablet 15 mg",| 314076 |,mg,1308216,aceis_arbs
telmisartan (MICARDIS) tablet 80 mg ** POM**,| 205305 |,mg,1317640,aceis_arbs
inv losartan or placebo (HRP 590) oral suspension 50 mg,| 979480 |,mg,1367500,aceis_arbs
triamterene-hydrochlorothiazide (MAXZIDE-25) 37.5-25 MG per tablet 0.5 Tablet,| 310812 |,tablet,974166,aceis_arbs
bumetanide (BUMEX) 6 mg in 0.9 % NaCl 50 mL IVPB,| 282486 | 313002 |,ml/hr,932745,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 40 MG tablet",| 197884 |,mg,1308216,aceis_arbs
rosuvastatin (CRESTOR) tablet 20 mg **Patient Supplied**,| 859751 |,mg,1510813,aceis_arbs
valsartan (DIOVAN) tablet 120 mg,| 349199 |,mg,1308842,aceis_arbs
chlorothiazide (DIURIL) 134.4 mg in sterile water 4.8 mL iv,| 107129 | 484152 |,mg,992590,aceis_arbs
atorvastatin (LIPITOR) tablet 10 mg,| 617310 |,mg,1545958,aceis_arbs
losartan (COZAAR) oral liquid 20 mg,| 979485 |,mg,1367500,aceis_arbs
chlorothiazide (DIURIL) 350 mg in sterile water 12.5 mL IV,| 107129 | 484152 |,mg,992590,aceis_arbs
nebivolol (BYSTOLIC) TABS 5 mg **Patient supplied med**,| 387013 |,mg,1314577,aceis_arbs
*bisoprolol (ZEBETA) tablet 5 mg - PATIENT SUPPLIED,| 854905 |,mg,1338005,aceis_arbs
furosemide (LASIX) 50 mcg in 0.9 % NaCl 5 mL IV solution,| 313002 | 727575 |,mg,956874,aceis_arbs
furosemide (LASIX) 100 mg in 0.9 % NaCl 50 mL infusion,| 313002 | 727575 |,mg/kg/hr,956874,aceis_arbs
furosemide (LASIX) 200 mg in 0.9 % NaCl 50 mL infusion,| 313002 | 727575 |,mg/kg/hr,956874,aceis_arbs
atorvastatin (LIPITOR) tablet 30 mg,| 617312 |,mg,1545958,aceis_arbs
furosemide (LASIX) injection 25.9 mg,| 727575 |,mg,956874,aceis_arbs
enalaprilat (VASOTEC) injection 0.3 mg,| 3829 |,mg,1342001,aceis_arbs
telmisartan-hydrochlorothiazide (MICARDIS HCT) 80-12.5 MG per tablet 1 Tablet,| 283317 |,tablet,974166,aceis_arbs
valsartan-hydroCHLOROthiazide (DIOVAN-HCT) 160-25 MG per tablet 1 tablet,| 349353 |,tablet,1308842,aceis_arbs
spironolactone (ALDACTONE) oral liquid 150 mg,| 198222 |,mg,970250,aceis_arbs
HOME MED **olmesartan-amLODIPine-hydroCHLOROthiazide (TRIBENZOR) 40-5-25 MG TABS 1 tablet**,| 1000001 |,tablet,40226742,aceis_arbs
bumetanide (BUMEX) injection 2 mg,| 282486 |,mg,932745,aceis_arbs
bumetanide (BUMEX) injection 0.25-0.5 mg,| 282486 |,mg,932745,aceis_arbs
torsemide (DEMADEX) tablet 50 mg,| 198371 | 198372 |,mg,942350,aceis_arbs
torsemide (DEMADEX) tablet 200 mg,| 198371 |,mg,942350,aceis_arbs
furosemide (LASIX) solution 5 mg,| 197730 |,mg,956874,aceis_arbs
furosemide (LASIX) 150 mg in 0.9 % NaCl 50 mL IVPB,| 313002 | 727575 |,ml/hr,956874,aceis_arbs
benazepril-hydroCHLOROthiazide (LOTENSIN HCT) 20-12.5 MG per tablet 1 tablet,| 898367 |,tablet,1335471,aceis_arbs
**inv valsartan or placebo (CLCZ696DUS01) 80 mg tablet 1 tablet**PT SUPPLIED,| 349483 |,tablet,1308842,aceis_arbs
telmisartan-hydroCHLOROthiazide (MICARDIS HCT) 80-12.5 MG tablet ++POM++,| 283317 |,tablet,1317640,aceis_arbs
"losartan (COZAAR) 100 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 979492 |,each,1367500,aceis_arbs
olmesartan-amLODIPine-hydroCHLOROthiazide (TRIBENZOR) 40-10-25 MG TABS 1 capsule,| 999991 |,capsule,974166,aceis_arbs
"losartan (COZAAR) 100 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 979492 |,each,974166,aceis_arbs
furosemide (LASIX) oral solution 120 mg,| 197730 |,mg,956874,aceis_arbs
furosemide (LASIX) tablet 40 mg,| 310429 |,mg,956874,aceis_arbs
enalapril (VASOTEC) 1 MG/ML oral liquid 2.5 mg,| 858804 |,mg,1341927,aceis_arbs
candesartan (ATACAND) tablet 8 mg,| 153822 |,mg,1351557,aceis_arbs
enalaprilat (VASOTEC) injection 1.25-2.5 mg,| 3829 |,mg,1342001,aceis_arbs
furosemide (LASIX) 500 mg in 50 mL **High Conc Infusion**,| 727575 |,mg/hr,956874,aceis_arbs
furosemide (LASIX) 20 MG/ML injection 20 mg,| 727575 |,mg,956874,aceis_arbs
torsemide (DEMADEX) tablet 40 mg,| 198369 |,mg,942350,aceis_arbs
bumetanide (BUMEX) 0.25 MG/ML injection,| 282486 |,mg,932745,aceis_arbs
furosemide (LASIX) injection 120 mg,| 727575 |,mg,956874,aceis_arbs
valsartan-hydroCHLOROthiazide (DIOVAN-HCT) 320-25 MG per tablet 1 tablet,| 636045 |,tablet,1308842,aceis_arbs
inv losartan or placebo 50 mg oral suspension 20 mL,| 979485 |,mg,1367500,aceis_arbs
candesartan (ATACAND) tablet 8 mg,| 153823 |,mg,1351557,aceis_arbs
eprosartan (TEVETEN) tablet 600 mg,| 310140 |,mg,1346686,aceis_arbs
losartan (COZAAR) oral liquid 40 mg,| 979485 |,mg,1367500,aceis_arbs
"lisinopril (PRINIVIL,ZESTRIL) 20 mg, hydrochlorothiazide (HYDRODIURIL) 25 mg (COMBO medication)",| 310798 | 314077 |,mg,1308216,aceis_arbs
furosemide (LASIX) injection 125 mg,| 727575 |,mg,956874,aceis_arbs
furosemide (LASIX) 200 mg in D5W 100 mL infusion,| 727575 | 1795621 |,mg/hr,956874,aceis_arbs
metOLazone (ZAROXOLYN) oral liquid 17.28 mg,| 311671 |,mg,907013,aceis_arbs
spironolactone (ALDACTONE) tablet 100 mg,| 198223 |,mg,970250,aceis_arbs
torsemide (DEMADEX) tablet 40 mg,| 198371 |,mg,942350,aceis_arbs
telmisartan-hydroCHLOROthiazide (MICARDIS HCT) 40-12.5 MG per tablet 1 tablet,| 283316 |,tablet,974166,aceis_arbs
****** Patient's own home med inv valsartan or placebo (CLCZ696DUS01) 160 mg tablet 1 tablet ***,| 349483 |,tablet,1308842,aceis_arbs
ramipril (ALTACE) capsule 15 mg,| 198189 | 261962 |,mg,1334456,aceis_arbs
captopril (CAPOTEN) tablet 12.5 mg,| 317173 |,mg,1340128,aceis_arbs
telmisartan-hydrochlorothiazide (MICARDIS HCT) 80-12.5 MG per tablet 1 Tablet,| 283317 |,tablet,1317640,aceis_arbs
enalapril (VASOTEC) tablet 7.5 mg,| 858804 |,mg,1341927,aceis_arbs
chlorthalidone (HYGROTON) tablet 12.5 mg,| 197499 |,mg,1395058,aceis_arbs
"valsartan (DIOVAN) 320 mg, hydrochlorothiazide (MICROZIDE) 12.5 mg (COMBO medication)",| 199903 | 349201 |,tablet,1308842,aceis_arbs
olmesartan-amLODIPine-hydroCHLOROthiazide (TRIBENZOR) 40-10-25 MG TABS 1 capsule,| 999991 |,capsule,40226742,aceis_arbs
"metoprolol (LOPRESSOR) 50 mg, hydrochlorothiazide (HYDRODIURIL) 25 mg (COMBO medication)",| 310798 | 866514 |,each,974166,aceis_arbs
atorvastatin (LIPITOR) tablet 30 mg,| 617310 | 617312 |,mg,1545958,aceis_arbs
enalapril (VASOTEC) tablet 40 mg,| 858817 |,mg,1341927,aceis_arbs
furosemide (LASIX) 400 mg in 0.9 % NaCl 100 mL infusion,| 313002 | 727575 |,mg/kg/hr,956874,aceis_arbs
"amikacin (AMIKIN) 1,450 mg in D5W IVPB",| 643 | 1795621 |,mg,1790868,aminoglycosides
"amikacin (AMIKIN) 1,800 mg in 0.9 % NaCl 100 mL IVPB",| 643 | 313002 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) 330 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 160 mg in 0.9 % NaCl 500 mL irrigation,| 486515 | 1870650 |,ml/hr,45892419,aminoglycosides
gentamicin (GARAMYCIN) 800 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
"amikacin (AMIKIN) 1,300 mg in D5W IV",| 643 | 1795621 |,mg,1790868,aminoglycosides
tobramycin (NEBCIN) 480 mg in D5W IVPB,| 597823 | 1795621 |,mg/kg,902722,aminoglycosides
"amikacin (AMIKIN) 1,100 mg in 0.9 % NaCl IVPB",| 643 | 313002 |,mg,1790868,aminoglycosides
tobramycin (NEBCIN) 300 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 0.1 % ointment 1 applicator,| 310465 |,applicator,45892419,aminoglycosides
tobramycin (NEBCIN) 310 mg in D5W 31 mL IV,| 597823 | 1795621 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 480 mg in D5W 48 mL IV,| 597823 | 1795621 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 120 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 530 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
amikacin (AMIKIN) 850 mg in 0.9 % NaCl 100 mL IVPB,| 643 | 313002 |,mg/kg,1790868,aminoglycosides
tobramycin (NEBCIN) 460 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
"amikacin (AMIKIN) 1,350 mg in D5W IVPB",| 643 | 1795621 |,mg,1790868,aminoglycosides
tobramycin sulfate (NEBCIN) 140 mg in 0.9 % NaCl 50 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 523.2 mg in 0.9 % NaCl 100 mL,| 313002 | 597823 |,mg/kg,902722,aminoglycosides
tobramycin (NEBCIN) 590 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 180 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 260 mg in 0.9 % NaCl 50 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 340 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin 1.4 % ophthalmic solution 1 drop,| 313415 |,drop,902722,aminoglycosides
gentamicin (GARAMYCIN) 500 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg/kg,45892419,aminoglycosides
colistin-gentamicin-nystatin (BOWEL DECONTAMINATION) oral liquid 20 mL,| 1870650 |,ml,45892419,aminoglycosides
"amikacin (AMIKIN) 1,900 mg in 0.9 % NaCl 100 mL IVPB",| 643 | 313002 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) injection,| 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 190 mg in D5W IVPB,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 80 mg in 0.9 % NaCl IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 100 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 503 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 445.9 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 10 MG/ML injection,| 239204 |,mg,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 520 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 525 mg in 0.9 % NaCl 52.5 mL IV syringe,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 480 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg/kg,902722,aminoglycosides
neomycin-bacitracin-polymyxin (NEOSPORIN) ophthalmic ointment 1 application,| 308493 |,application,915981,aminoglycosides
"amikacin (AMIKIN) 1,050 mg in 0.9 % NaCl IVPB",| 643 | 313002 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) 480 mg in D5W IVPB,| 1795621 | 1870650 |,mg/kg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 580 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
tobramycin (NEBCIN) 710 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) IVPB 250 mg,| 1870650 |,mg,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 580 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 360 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
"amikacin (AMIKIN) injection 1,000 mg",| 643 |,mg,1790868,aminoglycosides
Tobramycin-Dexamethasone 0.3-0.05 % SUSP 1 drop,| 849115 |,drop,902722,aminoglycosides
gentamicin 20 MG/0.5 ML ophthalmic injection 20 mg,| 310466 |,mg,45892419,aminoglycosides
"amikacin (AMIKIN) 1,950 mg in 0.9 % NaCl 100 mL IVPB",| 643 | 313002 |,mg/kg,1790868,aminoglycosides
tobramycin (NEBCIN) 572 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
"gentamicin 80 mg in 0.9 % NaCl 1,000 mL CHEST IRRIGATION",| 486515 | 1870650 |,ml/hr,45892419,aminoglycosides
gentamicin (GARAMYCIN) 200 mg in D5W 20 mL IV,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) IM Syringe 240 mg,| 1870650 |,mg,45892419,aminoglycosides
"amikacin (AMIKIN) 1,050 mg in 0.9 % NaCl 100 mL IVPB",| 643 | 313002 |,mg,1790868,aminoglycosides
tobramycin (NEBCIN) 550 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
tobramycin (TOBREX) 0.3 % ophthalmic ointment,| 313414 |,inch,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 330 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg/kg,902722,aminoglycosides
tobramycin (NEBCIN) 420 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 412 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 180 mg in D5W IVPB,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 550 mg in D5W IVPB,| 1795621 | 1870650 |,mg/kg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 600 mg in D5W IVPB,| 1795621 | 1870650 |,mg/kg,45892419,aminoglycosides
gentamicin (GARAMYCIN) injection 590 mg,| 1870650 |,mg,45892419,aminoglycosides
amikacin (AMIKIN) 650 mg in 0.9 % NaCl 100 mL IVPB,| 643 | 313002 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) 410 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg/kg,45892419,aminoglycosides
Neomycin-Polymyxin-Dexameth 0.1 % OINT 1 applicator,| 309679 |,applicator,915981,aminoglycosides
tobramycin (NEBCIN) 200 mg in D5W 20 mL IV syringe,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 240 mg in D5W IVPB,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 180 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 370 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 840 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 700 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 110 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 210 mg in D5W 21 mL IV,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 300 mg in D5W 30 mL IV,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) injection 433 mg,| 239204 |,mg,45892419,aminoglycosides
neomycin-bacitracin-polymyxin (NEOSPORIN) ointment,| 1359363 |,package,915981,aminoglycosides
amikacin (AMIKIN) 672 mg in D5W 67.2 mL IV syringe,| 643 | 1795621 |,mg,1790868,aminoglycosides
amikacin (AMIKIN) 800 mg in 0.9 % NaCl 100 mL IVPB,| 643 | 313002 |,mg,1790868,aminoglycosides
tobramycin (NEBCIN) 240 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 600 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin IVPB,| 1870650 |,mg,45892419,aminoglycosides
"gentamicin (GARAMYCIN) 1,080 mg in D5W IVPB",| 1795621 | 1870650 |,mg,45892419,aminoglycosides
tobramycin (NEBCIN) 546 mg in D5W 54.6 mL IV,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) injection 80 mg,| 1870650 |,mg,45892419,aminoglycosides
vancomycin 15 mg-gentamicin 3 mg-sodium citrate 4% lock flush syringe 6 mL,| 1870650 |,ml,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 470 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) injection 340 mg,| 1870650 |,mg,45892419,aminoglycosides
tobramycin (NEBCIN) 490 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 580 mg in D5W IVPB,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
tobramycin (PF) (TOBI) nebulizer solution 150 mg,| 348719 |,mg,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 150 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 365 mg in 0.9 % NaCl 36.5 mL IV syringe,| 313002 | 597823 |,mg,902722,aminoglycosides
tobramycin (NEBCIN) 60 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
amikacin (AMIKIN) 600 mg in D5W IVPB,| 643 | 1795621 |,mg,1790868,aminoglycosides
tobramycin (NEBCIN) 30 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 360 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg/kg,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 390 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg/kg,902722,aminoglycosides
neomycin-bacitracin-polymyxin (NEOSPORIN) ointment 1 application,| 1359363 |,applicator,915981,aminoglycosides
amikacin (AMIKIN) 700 mg in 0.9 % NaCl 100 mL IVPB,| 643 | 313002 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) 100 mg in D5W 10 mL IV syringe,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 620 mg in D5W IVPB,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 80 mg in D5W IVPB,| 1795621 | 1870650 |,mg/kg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 80 mg in D5W 8 mL IV,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 0.1 % cream,| 197735 |,mg/ml,45892419,aminoglycosides
gentamicin (GARAMYCIN) 333 mg in D5W 33.3 mL IV syringe,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 650 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
"vancomycin (VANCOCIN) 12.5 mg, gentamicin (GARAMYCIN) 5 mg, heparin 12,500 Units, 0.9 % NaCl 5 mL lock flush",| 239204 | 239209 | 313002 | 1361226 |,ml,45892419,aminoglycosides
"amikacin (AMIKIN) 1,000 mg in D5W IVPB",| 643 | 1795621 |,mg,1790868,aminoglycosides
"Gentamicin 160 mg in 0.9 % NaCl 1,000 mL **Chest Irrigation**",| 486515 | 1870650 |,mg,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 460 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg,902722,aminoglycosides
amikacin (AMIKIN) 650 mg in D5W IVPB,| 643 | 1795621 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) 90 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
amikacin (AMIKIN) 400 mg nebulizer solution 1.6 mL,| 643 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) injection 360 mg,| 1870650 |,mg,45892419,aminoglycosides
tobramycin sulfate (NEBCIN) 10 mg in 0.9 % NaCl 2 mL INTRATHECAL injection,| 313002 | 597823 |,mg,902722,aminoglycosides
"amikacin (AMIKIN) 1,200 mg in D5W IVPB",| 643 | 1795621 |,mg/kg,1790868,aminoglycosides
tobramycin sulfate (NEBCIN) 280 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg/kg,902722,aminoglycosides
tobramycin sulfate (NEBCIN) 200 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 597823 |,mg/kg,902722,aminoglycosides
gentamicin (GARAMYCIN) 610 mg in D5W 61 mL IV,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 360 mg in D5W IVPB,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
neomycin-bacitracin-polymyxin (NEOSPORIN) ointment 1 packet,| 1359363 |,packet,915981,aminoglycosides
tobramycin (NEBCIN) 280 mg in D5W IVPB,| 597823 | 1795621 |,mg,902722,aminoglycosides
gentamicin (GARAMYCIN) 140 mg in D5W IVPB,| 1795621 | 1870650 |,ml/hr,45892419,aminoglycosides
"gentamicin 320 mg in 0.9 % NaCl 1,000 mL **CHEST IRRIGATION**",| 486515 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 5 mg/kg in D5W IV syringe,| 1795621 | 1870650 |,mg/kg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 0.3 % ophthalmic ointment 2 applicator,| 310466 |,applicator,45892419,aminoglycosides
gentamicin (GARAMYCIN) 191 mg in 0.9 % NaCl 100 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
amikacin (AMIKIN) 500 mg nebulizer solution 2 mL,| 643 |,mg,1790868,aminoglycosides
gentamicin (GARAMYCIN) 290 mg in D5W 29 mL IV syringe,| 1795621 | 1870650 |,mg,45892419,aminoglycosides
gentamicin (GARAMYCIN) 524 mg in 0.9 % NaCl 50 mL IVPB,| 313002 | 1870650 |,mg,45892419,aminoglycosides
"amikacin (AMIKIN) 1,100 mg in 0.9 % NaCl 100 mL IVPB",| 643 | 313002 |,mg,1790868,aminoglycosides
